subj_id,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,specimen_id
,F,F,F,F,F,F,F,F,F,F,F,F,F,F,H,H,H,H,H,H,H,H,H,H,H,H,H,H,
,d,d,d,d,d,d,d,v,v,v,v,v,v,v,d,d,d,d,d,d,d,v,v,v,v,v,v,v,
,ll4,ll7,lv,s,t,ws,wv,ll4,ll7,lv,s,t,ws,wv,ll4,ll7,lv,s,t,ws,wv,ll4,ll7,lv,s,t,ws,wv,
0,0.1551,0.1584,0.174075,0.33181208725723,-0.008782929228178,0.231896919449138,0.096525,0.151804156366589,0.15826,0.126919919253378,0.34276882763752,0.048710085586435,0.223981615316972,0.078111187418961,0.133623,0.129987,0.158166,0.320186137290483,0.00669556097561,0.211083814263434,0.08181,0.131515,0.13605,0.10884,0.352841652463254,0.059373219465902,0.211525545646383,0.067118,0
1,0.1584,0.146025,0.155925,0.320926060409559,-0.008808775680635,0.223599352917221,0.0924,0.142206,0.179196,0.116724,0.334558039287655,0.021873951331149,0.221119527875762,0.063294,0.133917,0.122985,0.15487,0.31258054854709,-0.001945724826024,0.214116010519998,0.081079,0.128169,0.132714,0.125442,0.329089386624667,0.020825426076794,0.213941603513669,0.060903,0
2,0.146379,0.138109,0.161265,0.255564410106337,-0.044308345221512,0.217779109269002,0.091797,0.141075,0.147675,0.12375,0.210648204953187,-0.0475250892172,0.215402428607479,0.070125,0.125218,0.12796,0.151724,0.244176601090277,-0.037007684416499,0.20117345555515,0.080432,0.118491697343246,0.12922,0.12376,0.197941211979719,-0.048957812432929,0.200798876988891,0.06097,0
3,0.165369,0.181158,0.170355,0.388908887819499,0.047587397738315,0.232970668445622,0.09141,0.163152,0.154912,0.128544,0.369102335944925,0.048691351566031,0.227437434385811,0.07416,0.14167,0.142584,0.144412,0.375681797025089,0.058797801939425,0.215897557225643,0.081346,0.138928,0.138928,0.12339,0.362847639650584,0.056098490797094,0.218453648401669,0.067636,0
4,0.164573,0.160438,0.178632,0.270676733623339,-0.01642474689059,0.205577296161322,0.090143,0.150514,0.15713,0.124877,0.253910549574058,-0.021383470180249,0.206586189105177,0.075257,0.11895,0.14274,0.15921,0.255389924674017,-0.00327360351906,0.202415703565707,0.07503,0.133736,0.125492,0.124576,0.250083098445297,-0.017777952215353,0.198063687292749,0.06412,0
5,0.16107,0.17563,0.19838,0.234804688624397,-0.033539466747899,0.228933285041734,0.091,0.177772,0.158725,0.142399,0.246840679050273,-0.017266926677833,0.226969387867615,0.083444,0.14378,0.15379,0.18473,0.233473087314149,-0.031576183643764,0.234046975840322,0.08008,0.15419,0.151469,0.160539,0.233114880781987,-0.042660648507209,0.236937150016624,0.070746,0
6,0.153216,0.147744,0.180576,0.246408831010579,-0.056294964969813,0.21815871154735,0.10032,0.15106,0.1365,0.11921,0.245868460767134,0.051028539665379,0.221670471195421,0.08463,0.133476,0.132580428930045,0.179784,0.229731177753478,-0.056439458595659,0.207981557413151,0.082628,0.133035,0.123985,0.13756,0.226772486701981,0.027219426113357,0.208287671862739,0.06878,0
7,0.139384,0.143000898462144,0.157724,0.219354757115044,-0.055521577014627,0.217763849768505,0.07336,0.129788,0.1371,0.116992,0.211294185987216,0.042376307798164,0.215897557225644,0.072206,0.115189,0.123352,0.161446,0.205032159792068,-0.052072203570545,0.211768476374554,0.068025,0.115584,0.118293,0.12642,0.187902127981564,-0.004654409730445,0.208663351772658,0.051471,0
8,0.165977,0.157724,0.185234,0.318109137166791,0.060158292631181,0.215690018139459,0.092617,0.147476,0.150224,0.116332,0.244818886624378,0.045371512933666,0.225093837356779,0.063204,0.132422,0.115189,0.178679,0.30411021559461,0.031479332525077,0.218051930174901,0.084351,0.12489,0.13394,0.14118,0.242622719103138,0.002559726547895,0.216779144349727,0.06516,0
